,Unnamed: 0,username,text
59,59,mult co fire ems log,"['anresc', 'anim', 'rescu', 'at', 'block', 'of', 'se', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
60,60,portland police log,"['fire', 'relat', 'at', 'se', 'th', 'ave', 'se', 'divis', 'st', 'portland', 'or', 'portland', 'polic', 'pp', 'pdx']"
61,61,mult co fire ems log,"['smokea', 'smoke', 'investig', 'outsid', 'a', 'structur', 'at', 'spwt', 'at', 'i', 'fwi', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
62,62,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'weidler', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
63,63,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
64,64,mult co fire ems log,"['med', 'medic', 'at', 'se', 'st', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
65,65,michael capponi,"['we', 're', 'veri', 'grate', 'for', 'the', 'support', 'of', 'calfir', 's', 'pio', 'team', 'chief', 'pio', 'offic', 'steven', 'kauffman', 'guid', 'michaelcapponi', 'bstrong', 'throughout', 'thi', 'whole', 'mission', 'we', 've', 'been', 'at', 'thi', 'sinc', 'and']"
66,66,wildfire bot  sw    unofficial  ,"['mineralfir', 'unoffici', 'new', 'fire', 'report', 'detail', 'uncertain', 'pinalcounti', 'gila', 'district', 'offic', 'mi', 'sse', 'of', 'queen', 'valley', 'az', 'mi', 'ese', 'of', 'phoenix', 'az', 'see', 'offici', 'for', 'safeti', 'info', 'may', 'be', 'incorrect', 'disclaim', 'in', 'imag', 'pic', 'twitter', 'com', 'wbzueyj', 'sh']"
67,67,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'alder', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
68,68,westshore gold,"['fire', 'finger', 'super', 'christmassi', 'and', 'classi', 'keepitclassylangford', 'jewelrydesign', 'goldsmith', 'yyjbusi', 'yyjstyl', 'yyjdesign', 'yyjfashion', 'yyjbeauti', 'wed', 'engagementr']"
69,69,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'center', 'common', 'way', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
70,70,botanist  llc,"['pet', 'paradis', 'syntheticgrass', 'green', 'savingwat', 'savingmoney', 'lowmaintenancegarden', 'golf', 'landscap', 'desert', 'oasi', 'resid']"
71,71,imafoolishmortal,"['a', 'paint', 'i', 'did', 'a', 'few', 'year', 'back', 'for', 'the', 'documentari', 'foolish', 'mortal', 'now', 'a', 'a', 'sign', 'print', 'get', 'them', 'befor', 'they', 'are', 'gone', 'paradis', 'nevada']"
72,72,imafoolishmortal,"['a', 'paint', 'i', 'did', 'a', 'few', 'year', 'back', 'for', 'the', 'documentari', 'foolish', 'mortal', 'now', 'a', 'a', 'sign', 'print', 'get', 'them', 'befor', 'they', 'are', 'gone', 'paradis', 'nevada']"
73,73,fox   news,"['rain', 'hinder', 'search', 'but', 'help', 'nearli', 'put', 'out', 'camp', 'fire']"
74,74,mult co fire ems log,"['almaud', 'audibl', 'fire', 'alarm', 'at', 'block', 'of', 'nw', 'nd', 'pl', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
75,75,total traffic la,"['sigalert', 'motorhom', 'fire', 'in', 'the', 'two', 'right', 'lane', 'in', 'irvin', 'on', 'i', 'nb', 'befor', 'jeffrey', 'rd', 'stop', 'traffic', 'back', 'to', 'sand', 'cyn', 'ave']"
76,76,mult co fire ems log,"['power', 'line', 'or', 'pole', 'down', 'or', 'arc', 'at', 'se', 'rhine', 'st', 'se', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
77,77,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'powel', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
78,78,drika,"['these', 'amaz', 'creatur', 'have', 'been', 'stand', 'for', 'the', 'last', 'year', 'they', 'are', 'quit', 'fire', 'resist', 'and', 'the', 'cone', 'open', 'and', 'the', 'seed', 'grow', 'help', 'by', 'it', 'sequoia', 'are', 'the', 'freak', 'dragon', 'of']"
79,79,chic runner,"['visit', 'thi', 'birthday', 'boy', 'today', 'we', 'are', 'so', 'thank', 'for', 'him', 'and', 'all', 'he', 'doe', 'for', 'our', 'crazi', 'littl', 'famili', 'we', 'love', 'you', 'b', 'bnew', 'lafd', 'fire', 'depart', 'station']"
80,80,tasha,"['latepost', 'wednesday', 'night', 'wa', 'special', 'pennywis', 'play', 'a', 'benefit', 'show', 'for', 'friend', 'and', 'famili', 'to', 'rais', 'money', 'for', 'ca', 'wildfir', 'victim', 'they', 'have', 'shirt', 'for', 'sale', 'if', 'you', 'want', 'to', 'grab']"
81,81,aaron comfort dog,"['i', 'am', 'take', 'the', 'day', 'off', 'and', 'enjoy', 'listen', 'to', 'the', 'rain', 'buttecounti', 'buttestrong', 'firefight', 'sheriff', 'lawenforc', 'calfir', 'campfir', 'rain', 'rest', 'famili', 'thanksgiv']"
82,82,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
83,83,mult co fire ems log,"['gasinv', 'natur', 'ga', 'odor', 'or', 'investig', 'at', 'block', 'of', 'se', 'nehalem', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
84,84,mult co fire ems log,"['miscf', 'unknown', 'type', 'of', 'fire', 'problem', 'at', 'eb', 'ross', 'island', 'brg', 'at', 'eastend', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
85,85,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
86,86,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'nw', 'rd', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
87,87,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'rd', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
88,88,day day,"['galact', 'cooki', 'scoobi', 'snack', 'orang', 'crush', 'ct', 'strain', 'cooki', 'scoobydoo', 'oj', 'weedporn', 'fire', 'califir', 'california', 'oregon', 'dayday', 'ndoe', 'grower', 'tree', 'picoftheday', 'followm']"
89,89,southern marin fire,"['southern', 'marin', 'fire', 'personnel', 'have', 'been', 'busi', 'with', 'the', 'first', 'storm', 'of', 'the', 'season', 'vehicl', 'accid', 'on', 'highway', 'a', 'small', 'electr', 'fire', 'on', 'a', 'boat', 'in', 'the', 'sausalito', 'waterfront', 'and', 'a', 'dive']"
90,90,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'glisan', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
91,91,binh h  nguyen,"['i', 'do', 'not', 'match', 'what', 'i', 'read', 'bluesi', 'me', 'mark', 'doti', 's', 'fire', 'to', 'fire', 'new', 'select', 'poem', 'it', 's', 'been', 'an', 'agon', 'past', 'three', 'day', 'a', 'i', 'chip', 'daili', 'at']"
92,92,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'hawthorn', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
