,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
43,ta traffic accident st response fire em nb fwy exit ne sandy blvd portland portland fire rp,0.14365340598297202,0.13593721168086592,1,"TA1 - TRAFFIC ACCIDENT - 1ST RESPONSE (FIRE & EMS) at NB I205 FWY SO / EXIT 23A & NE SANDY BLVD, PORTLAND, OR [Portland Fire #RP18000096768]",Mult Co Fire/EMS log
45,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 7600 BLOCK OF SE 104TH AVE, PORTLAND, OR [Portland Fire #RP18000096755] 13:41 #pdx911",Mult Co Fire/EMS log
46,paradise broadway pier san diego,0.1285272000840403,0.12495656170760677,1,"my paradise  @ Broadway Pier, San Diego https://www.instagram.com/p/BqilxupliIh/?utm_source=ig_twitter_share&igshid=135dd9p5w9y5i …",FARRAH MARIE 💫
47,med medical block ne flanders st portland portland fire rp pdx,0.14662448794321248,0.13725570938610698,1,"MED - MEDICAL at 4300 BLOCK OF NE FLANDERS ST, PORTLAND, OR [Portland Fire #RP18000096758] 13:52 #pdx911",Mult Co Fire/EMS log
48,sky earth fire within pacific palisade,0.14031218067399134,0.13734577072289963,1,Sky above me...earth below me...fire within me  @ Pacific Palisades https://www.instagram.com/p/Bqilh8YDdFB/?utm_source=ig_twitter_share&igshid=7qu3g8b5ah05 …,Andreea_Tina
50,med medical block se clay st portland portland fire rp pdx,0.14208290372590432,0.1362040715942639,1,"MED - MEDICAL at 10600 BLOCK OF SE CLAY ST, PORTLAND, OR [Portland Fire #RP18000096752] 13:30 #pdx911",Mult Co Fire/EMS log
51,happy friyay everyone official tangeris premium flavor tobacco serve velvetroomhookahlounge come smoke chill great vipe mix day peach ice tea cane mint happy,0.14459396448435138,0.1402671959438404,1, :) HAPPY FRIYAY everyone's official TANGERIS Premium FlavorS Tobacco Serve @ #velvetroomhookahlounge come SMOKE & CHILL great VIPE mIx of the day (Peach ice tea +Cane mint :) HAppY… https://www.instagram.com/p/Bqik6IsDj3P/?utm_source=ig_twitter_share&igshid=1eydwyy3villk …,Velvet Room Hookah Lounge
54,med medical block sw harrison st portland portland fire rp pdx,0.14248795350381058,0.1384045438481288,1,"MED - MEDICAL at 1500 BLOCK OF SW HARRISON ST, PORTLAND, OR [Portland Fire #RP18000096757] 13:49 #pdx911",Mult Co Fire/EMS log
55,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 800 BLOCK OF SE 48TH AVE, PORTLAND, OR [Portland Fire #RP18000096754] 13:35 #pdx911",Mult Co Fire/EMS log
56,med medical nw th ave portland portland fire rp pdx,0.1482347967452236,0.13948435082065472,1,"MED - MEDICAL at 0 NW 8TH AVE, PORTLAND, OR [Portland Fire #RP18000096751] 13:19 #pdx911",Mult Co Fire/EMS log
57,today smoke fest spatchcock lb turkey lychee smoke wood brined soursop injected nectar aloha torrance california,0.14257514659984555,0.13849747923626157,1,"Today’s #smoke fest #spatchcock 19 lbs turkey and #lychee smoke wood brined and #Soursop #injected nectar #aloha @ Torrance, California https://www.instagram.com/p/BqihT77Fu69/?utm_source=ig_twitter_share&igshid=11aglkwrbbefz …",kupua
58,med medical block ne rd ave portland portland fire rp pdx,0.14634067143012464,0.13349590978620346,1,"MED - MEDICAL at 2300 BLOCK OF NE 53RD AVE, PORTLAND, OR [Portland Fire #RP18000096747] 12:56 #pdx911",Mult Co Fire/EMS log
59,anresc animal rescue block se th ave portland portland fire rp pdx,0.14713699967235938,0.14178639876298815,1,"ANRESC - ANIMAL RESCUE at 2300 BLOCK OF SE 137TH AVE, PORTLAND, OR [Portland Fire #RP18000096760] 13:56 #pdx911",Mult Co Fire/EMS log
60,fire related se th ave se division st portland portland police pp pdx,0.14937803055988633,0.14763262415556944,1,"FIRE RELATED at SE 174TH AVE / SE DIVISION ST, PORTLAND, OR [Portland Police #PP18000399588] 11:59 #pdx911",Portland Police log
62,med medical block ne weidler st portland portland fire rp pdx,0.14479618408252787,0.13914296330994588,1,"MED - MEDICAL at 11100 BLOCK OF NE WEIDLER ST, PORTLAND, OR [Portland Fire #RP18000096756] 13:46 #pdx911",Mult Co Fire/EMS log
63,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 4300 BLOCK OF SE 116TH AVE, PORTLAND, OR [Portland Fire #RP18000096745] 12:47 #pdx911",Mult Co Fire/EMS log
64,med medical se st ave portland portland fire rp pdx,0.1487887873365208,0.14684462004369458,1,"MED - MEDICAL at 0 SE 81ST AVE, PORTLAND, OR [Portland Fire #RP18000096748] 13:02 #pdx911",Mult Co Fire/EMS log
67,med medical block se alder st portland portland fire rp pdx,0.14439388024746733,0.14049873538706942,1,"MED - MEDICAL at 12600 BLOCK OF SE ALDER ST, PORTLAND, OR [Portland Fire #RP18000096744] 12:34 #pdx911",Mult Co Fire/EMS log
68,fire finger super christmassy classy keepitclassylangford jewelrydesigner goldsmith yyjbusiness yyjstyle yyjdesign yyjfashion yyjbeauty wedding engagementring,0.1282772054637206,0.12709120009104705,1,Fire Fingers!!! Super Christmassy And classy. #keepitclassylangford #jewelrydesigner #goldsmith #yyjbusiness #yyjstyle #yyjdesign #yyjfashion #yyjbeauty #wedding #engagementring… https://www.instagram.com/p/BqieUziBa3V/?utm_source=ig_twitter_share&igshid=1defze2wugqfd …,WestShore Gold
69,med medical block ne center common way portland portland fire rp pdx,0.1432639494231062,0.13411388234479185,1,"MED - MEDICAL at 5800 BLOCK OF NE CENTER COMMONS WAY, PORTLAND, OR [Portland Fire #RP18000096746] 12:48 #pdx911",Mult Co Fire/EMS log
71,painting year back documentary foolish mortal signed print get gone paradise nevada,0.14146614877753927,0.13894907915157406,1,"A painting I did a few years back for the Documentary “Foolish Mortals.” Now as a signed print. Get them before they are gone. @ Paradise, Nevada https://www.instagram.com/p/Bqick8pHD3Y/?utm_source=ig_twitter_share&igshid=1q619p71qg878 …",imafoolishmortal
72,painting year back documentary foolish mortal signed print get gone paradise nevada,0.14146614877753927,0.13894907915157406,1,"A painting I did a few years back for the Documentary “Foolish Mortals.” Now as a signed print. Get them before they are gone. @ Paradise, Nevada https://www.instagram.com/p/BqicatZnsM_/?utm_source=ig_twitter_share&igshid=vfrvzk7zdu0b …",imafoolishmortal
74,almaud audible fire alarm block nw nd pl portland portland fire rp pdx,0.14680459558758,0.1369260190133323,1,"ALMAUD - AUDIBLE FIRE ALARM at 200 BLOCK OF NW 22ND PL, PORTLAND, OR [Portland Fire #RP18000096749] 13:13 #pdx911",Mult Co Fire/EMS log
75,sigalert motorhome fire two right lane irvine nb jeffrey rd stopped traffic back sand cyn ave,0.14062758383048365,0.13438218981412364,1,"!! sigalert !! motorhome fire in the two right lanes in #Irvine on I-405 NB before Jeffrey Rd, stopped traffic back to Sand Cyn Ave",Total Traffic LA
76,power line pole arcing se rhine st se th ave portland portland fire rp pdx,0.142400387766044,0.1405906144803074,1,"POWER - LINE OR POLE DOWN OR ARCING at SE RHINE ST / SE 8TH AVE, PORTLAND, OR [Portland Fire #RP18000096750] 13:15 #pdx911",Mult Co Fire/EMS log
77,med medical block se powell blvd portland portland fire rp pdx,0.14568828761067334,0.1334844719900355,1,"MED - MEDICAL at 3000 BLOCK OF SE POWELL BLVD, PORTLAND, OR [Portland Fire #RP18000096741] 12:21 #pdx911",Mult Co Fire/EMS log
79,visited birthday boy today thankful doe crazy little family love b bnew lafd fire department station,0.14420915241315999,0.14060309577564942,1,Visited this birthday boy today! We are so thankful for him and all he does for our crazy little family. We love you B! bnew64   #lafd @ Fire Department-Station 6 https://www.instagram.com/p/BqiZP0OBUPN/?utm_source=ig_twitter_share&igshid=1rmwmnguu473d …,Chic Runner
80,latepost wednesday night wa special pennywise played benefit show friend family raise money ca wildfire victim shirt sale want grab,0.1408628061738981,0.13876195745812994,1,"#latepost
Wednesday night was special! @pennywise played a benefit show for 200 friends and family to raise money for CA wildfire victims. 
They have shirts for sale if you want to grab… https://www.instagram.com/p/BqiZN3ehzil/?utm_source=ig_twitter_share&igshid=s0h2f4hlxyrb …",Tasha
82,med medical block ne th ave portland portland fire rp pdx,0.148700677129416,0.1374521647996507,1,"MED - MEDICAL at 1500 BLOCK OF NE 8TH AVE, PORTLAND, OR [Portland Fire #RP18000096734] 11:27 #pdx911",Mult Co Fire/EMS log
83,gasinv natural gas odor investigation block se nehalem st portland portland fire rp pdx,0.14626459188641872,0.14429832879324805,1,"GASINV - NATURAL GAS ODOR OR INVESTIGATION at 3900 BLOCK OF SE NEHALEM ST, PORTLAND, OR [Portland Fire #RP18000096743] 12:29 #pdx911",Mult Co Fire/EMS log
84,miscf unknown type fire problem eb ross island brg eastend portland portland fire rp pdx,0.14481896476658065,0.138483061735661,1,"MISCF - UNKNOWN TYPE OF FIRE PROBLEM at EB ROSS ISLAND BRG AT / EASTEND, PORTLAND, OR [Portland Fire #RP18000096742] 12:29 #pdx911",Mult Co Fire/EMS log
85,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 1000 BLOCK OF SE 7TH AVE, PORTLAND, OR [Portland Fire #RP18000096739] 11:41 #pdx911",Mult Co Fire/EMS log
86,med medical block nw rd ave portland portland fire rp pdx,0.1458777887224913,0.13159651536992065,1,"MED - MEDICAL at 1200 BLOCK OF NW 23RD AVE, PORTLAND, OR [Portland Fire #RP18000096737] 11:37 #pdx911",Mult Co Fire/EMS log
87,med medical block se rd ave portland portland fire rp pdx,0.1460776103834898,0.1360707980327644,1,"MED - MEDICAL at 2100 BLOCK OF SE 143RD AVE, PORTLAND, OR [Portland Fire #RP18000096738] 11:39 #pdx911",Mult Co Fire/EMS log
88,galactic cooky scooby snack orange crush ct strain cooky scoobydoo oj weedporn fire califire california oregon dayday ndoe grower tree picoftheday followme,0.12869644627117252,0.11900414830262944,1,Galactic Cookies. Scooby Snacks. Orange Crush. #CTS #strains #cookies #scoobydoo #oj #weedporn #Fire #CaliFire #california #oregon #DayDay #Ndoe #grower #trees #picoftheday #FollowMe… https://www.instagram.com/p/BqiVGxfgFlS/?utm_source=ig_twitter_share&igshid=1t9vjnvqejarz …,Day Day
90,med medical block ne glisan st portland portland fire rp pdx,0.14453606734076085,0.13800902274214633,1,"MED - MEDICAL at 9700 BLOCK OF NE GLISAN ST, PORTLAND, OR [Portland Fire #RP18000096723] 10:35 #pdx911",Mult Co Fire/EMS log
91,match read bluesy mark doty fire fire new selected poem agonizing past three day chipped daily,0.14086370956446398,0.13990423145742914,1,"I Do NOT Match What I Read: bluesy me & Mark Doty’s FIRE TO FIRE (New & Selected Poems), 2008.
•
It’s been an agonizing past three days as I chipped daily at… https://www.instagram.com/p/BqiToi8nnE0_Zm2qz4kVkaxaEr49Cb1U-JQ41k0/?utm_source=ig_twitter_share&igshid=wrzwot3zn1rf …",Binh H. Nguyen
92,med medical block se hawthorne blvd portland portland fire rp pdx,0.14580606784520928,0.13410082201356957,1,"MED - MEDICAL at 7700 BLOCK OF SE HAWTHORNE BLVD, PORTLAND, OR [Portland Fire #RP18000096721] 10:28 #pdx911",Mult Co Fire/EMS log
93,ta traffic accident st response fire em nb brg midspan portland portland fire rp pdx,0.14198319171139462,0.13822918535504772,1,"TA1 - TRAFFIC ACCIDENT - 1ST RESPONSE (FIRE & EMS) at NB I205 BRG AT / MIDSPAN, PORTLAND, OR [Portland Fire #RP18000096732] 11:23 #pdx911",Mult Co Fire/EMS log
