,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username,coordinates,lat,long,geometry
6393,chim chimney fireplace woodstove fire block ne th ave portland portland fire rp pdx,0.14558310344390665,0.13492520747746412,1,"CHIM - CHIMNEY, FIREPLACE OR WOODSTOVE FIRE at 1900 BLOCK OF NE 54TH AVE, PORTLAND, OR [Portland Fire #RP18000093402] 15:07 #pdx911",Mult Co Fire/EMS log,"(39.84358351399865, -121.53578117039895)",39.84358351399865,-121.53578117039895,POINT (-121.5357811703989 39.84358351399865)
6394,venturing world first time week cawildfires smoke san francisco california,0.14460093487471545,0.14190058829666802,1,"Venturing out into the world for the first time in a week. #cawildfires #smoke @ San Francisco, California https://www.instagram.com/p/BqDuhcOlwAO/?utm_source=ig_twitter_share&igshid=1fu64dayzh5ht …",Т н о м,"(39.82964547611416, -121.48373648077485)",39.82964547611416,-121.48373648077485,POINT (-121.4837364807749 39.82964547611416)
6395,another smokey day auburnca looking sw deck campfire acre containment kcranews north auburn california,0.14585065381545104,0.13704461569778387,1,"Another smokey day in #auburnca Looking SW 240° at I80 from the deck. The #campfire 110,000 acres 25% containment. @kcranews @ North Auburn, California https://www.instagram.com/p/BqDuJL7nG90/?utm_source=ig_twitter_share&igshid=1vl9oyprtizdv …",Michael Motorcycle,"(39.96301300558412, -121.67491975020612)",39.96301300558412,-121.67491975020612,POINT (-121.6749197502061 39.96301300558412)
6396,flying epa like flying spooky forest death haze smoke east palo alto california,0.14421778457827605,0.13804711638893147,1,"Flying in EPA is like flying over a spooky forest of death with the haze and smoke. @ East Palo Alto, California https://www.instagram.com/p/BqDuAQtlhWP/?utm_source=ig_twitter_share&igshid=r36knlxny91q …",Zhong Liu MK Fan,"(39.77185006316868, -121.62353183666983)",39.77185006316868,-121.62353183666983,POINT (-121.6235318366698 39.77185006316868)
6397,disabled vehicle fire sr nb milepost near clear lake rd beginning pm november notice lane blocked,0.14273424592605,0.13369867006967864,1,"Disabled vehicle fire on SR 161 NB at milepost 9.03 near Clear Lake Rd S beginning at 3:13 pm on November 11, 2018 until further notice. All lanes blocked.",WSDOT Tacoma,"(39.782749515156226, -121.61605862925849)",39.782749515156226,-121.61605862925849,POINT (-121.6160586292585 39.78274951515623)
6398,med medical block se nd ave portland portland fire rp pdx,0.14853767230140896,0.13549918821487972,1,"MED - MEDICAL at 5000 BLOCK OF SE 82ND AVE, PORTLAND, OR [Portland Fire #RP18000093382] 14:04 #pdx911",Mult Co Fire/EMS log,"(39.805982058087935, -121.55147849362001)",39.805982058087935,-121.55147849362001,POINT (-121.55147849362 39.80598205808793)
6399,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 2300 BLOCK OF SE 112TH AVE, PORTLAND, OR [Portland Fire #RP18000093401] 15:07 #pdx911",Mult Co Fire/EMS log,"(39.80929489720713, -121.6479105746358)",39.80929489720713,-121.6479105746358,POINT (-121.6479105746358 39.80929489720713)
6400,yep drinking yellow snow pilsner rogueales paradise,0.13741284634548334,0.13528866427234465,1,Yep....  - Drinking a Yellow Snow Pilsner by @rogueales @ Paradise  — http://untp.beer/s/c675075237 ,Larry Nelson,"(39.85875105428071, -121.68651112383742)",39.85875105428071,-121.68651112383742,POINT (-121.6865111238374 39.85875105428071)
6401,drinking fire rock konabrewingco pico rivera,0.13275708828944272,0.11554141630999612,1,Drinking a Fire Rock by @KonaBrewingCo @ Pico Rivera —http://untp.beer/s/c675073981 ,Leonel R. Hernandez,"(39.855555960989385, -121.59312855627239)",39.855555960989385,-121.59312855627239,POINT (-121.5931285562724 39.85555596098938)
6402,santa ana wind bad fire cali adelanto california,0.13807166521838238,0.12450627686371213,1,"And we're off again with the Santa Ana winds which is bad for the fires here in Cali. @ Adelanto, California https://www.instagram.com/p/BqDtjNwhzUr/?utm_source=ig_twitter_share&igshid=15qf517vtff51 …",Meshweida Carter,"(39.7732770080293, -121.65672466191883)",39.7732770080293,-121.65672466191883,POINT (-121.6567246619188 39.7732770080293)
