,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
134,feeling extra grateful week campfire percent contained active hot spot detected may long time rebuilding process begin,0.142601254878858,0.14575002686102104,0,Feeling extra grateful this week. The #CampFire is 95 percent contained and there are no active hot spots detected. It may be a long time before the rebuilding process can begin for our… https://www.instagram.com/p/BqiI7LxHVCc/?utm_source=ig_twitter_share&igshid=1wgnmkwkca0dd …,April
143,always one create something ha always set soul fire able create something benefit others even incredible today want,0.1394638961951561,0.14479057704033954,0,I’ve always been one to create! It’s something that has always just set my soul on fire. And being able to create something that can benefit others is even more incredible!Today I want to… https://www.instagram.com/p/BqiGmeclCbB/?utm_source=ig_twitter_share&igshid=gti7wdwflpe2 …,The Happy Workaholic
145,med medical sw th ave sw morrison st portland portland fire rp pdx,0.14643264560821237,0.14774137847429272,0,"MED - MEDICAL at SW 20TH AVE / SW MORRISON ST, PORTLAND, OR [Portland Fire #RP18000096714] 10:10 #pdx911",Mult Co Fire/EMS log
160,almres monitored residential fire alarm block se sherrett st portland portland fire rp pdx,0.14173325573460588,0.1516716943398881,0,"ALMRES - MONITORED RESIDENTIAL FIRE ALARM at 7100 BLOCK OF SE SHERRETT ST, PORTLAND, OR [Portland Fire #RP18000096708] 09:33 #pdx911",Mult Co Fire/EMS log
162,sunrise mall sunrise marketplace macy collecting gift card cash donation victim camp fire come see u noon thanks,0.14738326337017163,0.15031677337290295,0,We’re at Sunrise Mall at Sunrise Marketplace by Macy’s collecting gift cards and cash donations for the victims of the Camp Fire come down and See us we’re here until noon!! Thanks to the… https://www.instagram.com/p/Bqh_i-gHd6j/?utm_source=ig_twitter_share&igshid=1g3m64pxxt36u …,Jennifer Steele
163,almcom monitored commercial fire alarm block ne glisan st portland portland fire rp pdx,0.14020650530251058,0.14230937201228894,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 11500 BLOCK OF NE GLISAN ST, PORTLAND, OR [Portland Fire #RP18000096703] 09:04 #pdx911",Mult Co Fire/EMS log
172,smokea smoke investigation outside structure block se mcloughlin blvd portland portland fire rp,0.1531704072667341,0.15664380165701494,0,"SMOKEA - SMOKE INVESTIGATION OUTSIDE A STRUCTURE at 4500 BLOCK OF SE MCLOUGHLIN BLVD, PORTLAND, OR [Portland Fire #RP18000096701] 08:53",Mult Co Fire/EMS log
173,vast stillness barren landscape deep peace desert stokes creative fire see sister chose live desertlife getoutside morongo valley,0.144427625209816,0.15264227069561304,0,"The vast stillness and barren landscape; the deep peace of the desert-stokes my creative fire. I can see why my sister chose to live here. 

#desertlife #5D #getoutside @ Morongo Valley,… https://www.instagram.com/p/Bqh9HAfnmo2/?utm_source=ig_twitter_share&igshid=i2kgat9kt4by …",krenshawfilms
174,sneak peak new single platform swifthomicide sound grrr stockton fire mind clip tomorrow available spotify itunes youtube link bio stockton,0.1496109243847208,0.1498489151985803,0,"Sneak peak at the new single on all platforms #SwiftHomicide #777Sounds #grrr #Stockton #fire #Mind #Clip #2018 #Tomorrow #Available #Spotify #ITunes #YouTube LINK IN BIO @ Stockton,… https://www.instagram.com/p/BqIubDmg23m/?utm_source=ig_twitter_share&igshid=1dxo16qhz1o9y …",Swift Homicide
175,see fire destruction could always turn around malibu beach rd point,0.14701148867616998,0.15269571070348545,0,"But if all you see is fire and destruction, you could always just turn around @ Malibu Beach ~ 3rd Point https://www.instagram.com/p/Bqh7VsUlnKX/?utm_source=ig_twitter_share&igshid=f9f4yst8h8pv …",jeffalopolis
178,calfire reporting campfire contained acre burned structure type destroyed condition rain ha assisted extinguishing hot spot smoldering,0.1396645738055064,0.1473071186566468,0,"calfire reporting #CampFire 95% contained, 153,336 acres burned, and 18,733 structures (all types) destroyed. Conditions: The rain has assisted in extinguishing hot spots and smoldering… https://www.instagram.com/p/Bqh58yCgwVx/?utm_source=ig_twitter_share&igshid=1tsqltdecxc0y …",Jeffrey Bezore
179,mom lost everything paradise camp fire paradise california,0.14005236863818016,0.14457533188873356,0,"My mom lost everything in the Paradise Camp Fire @ Paradise, California https://www.instagram.com/p/Bqh5R7cFc5h/?utm_source=ig_twitter_share&igshid=1antld7eg75q8 …",Alisa
182,forest rejuvenate first must survive great fire burn ground hopefully sparing enough leyefe allow grow sadly like thing,0.14581051243988505,0.14896029624088833,0,"for a forest to rejuvenAte itself, it first must survive a greAt fire thAt burns itself to the ground, hopefully spAring enough leyefe to allow it to grow again. sAdly, like all things… https://www.instagram.com/p/Bqh3blen6Nq/?utm_source=ig_twitter_share&igshid=y2y1920mrl8w …",brokenArgyle
183,happy birthday mom today would nd birthday never played victim showed even slightest hint negativity throughout entire duration nearly,0.14419169820297292,0.14593811199810597,0,"Happy Birthday, Mom! Today would’ve been her 72nd birthday. She never once played a victim or showed even the slightest hint of negativity throughout the entire duration of nearly 30… https://www.instagram.com/p/Bqh2B7QAf2M/?utm_source=ig_twitter_share&igshid=1wke1zraaikqz …",Nell Stephenson
188,sometimes seek paradise time stumble across utah slc visualsofearth ill landscape gooutsideandplay themodrendayexplorer discoverearth,0.14818376535790756,0.159093037826786,0,"181123 - Sometimes you seek paradise, other times you stumble across it. 

•
•
•

#Utah #SLC #visualsofearth #ill_landscapes #gooutsideandplay #themodrendayexplorer #discoverearth… https://www.instagram.com/p/BqhzaFBAany/?utm_source=ig_twitter_share&igshid=nwweon74ka9z …",Patrick Malley
190,almcom monitored commercial fire alarm block sw morrison st portland portland fire rp pdx,0.13904613255025217,0.1439854977748049,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1800 BLOCK OF SW MORRISON ST, PORTLAND, OR [Portland Fire #RP18000096685] 07:14 #pdx911",Mult Co Fire/EMS log
193,think important public understands special paradise california wa fire sometimes hard relate another town see destruction,0.1478785452404916,0.1566738803266974,0,I think it’s important the public understands just how special Paradise California was before the fire. Sometimes it’s hard to relate to another town when all you see is destruction. This… https://www.instagram.com/p/Bqhx-8pgedx/?utm_source=ig_twitter_share&igshid=r04b0b3ukjh5 …,Michael Capponi
195,almcom monitored commercial fire alarm block ne argyle dr portland portland fire rp pdx,0.13602040358500844,0.13633901343936436,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1600 BLOCK OF NE ARGYLE DR, PORTLAND, OR [Portland Fire #RP18000096684] 07:10 #pdx911",Mult Co Fire/EMS log
196,good morning southern california wa magic watching sunrise morning favorite beach malibu sad see much charred fire grateful,0.13841630156147058,0.14142727283379253,0,Good morning Southern California! It was magic watching the sunrise this morning from my favorite beach in Malibu. Sad to see so much of it charred from the fires. Grateful that it will… https://www.instagram.com/p/BqhwIB3ASPi/?utm_source=ig_twitter_share&igshid=100wudik7z74g …,Justin Sanchez
199,heart go victim california fire california fire donate percentage sale every bottle nautiqa rose,0.13736080787234184,0.14247192826866933,0,Our hearts go out to all the victims of the California fires. #California fires. http://DrinkPinks.com  will donate a percentage of the sale of every bottle of Nautiqa Rose until… https://www.instagram.com/drinkpinks2016/p/BqhuwrYnlxV/?utm_source=ig_twitter_share&igshid=1eg0jj4hrggvt …,NautiqaRose
200,almcom monitored commercial fire alarm block ne argyle dr portland portland fire rp pdx,0.13602040358500844,0.13633901343936436,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1600 BLOCK OF NE ARGYLE DR, PORTLAND, OR [Portland Fire #RP18000096679] 06:42 #pdx911",Mult Co Fire/EMS log
203,almcom monitored commercial fire alarm block se tenino st portland portland fire rp pdx,0.1422836829285788,0.1457934299335595,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1700 BLOCK OF SE TENINO ST, PORTLAND, OR [Portland Fire #RP18000096667] 04:45 #pdx911",Mult Co Fire/EMS log
206,bomberos mexicali fotografodebomberos luisfelipegaspar bomberos mexicali capacitacion bomberosmexicali luisfelipegaspar mexicali bajacalifornia fire photography,0.13193989645628507,0.13714701782923666,0,"Bomberos Mexicali 
#fotografodebomberos
#luisfelipegaspar
#bomberos #Mexicali #capacitacion #BomberosMexicali #luisFelipeGaspar #MEXICALI #BajaCalifornia #fire #photography… https://www.instagram.com/p/BqhlfxWniwB/?utm_source=ig_twitter_share&igshid=v03sn8b4ozxx …",Luis Felipe Gaspar
