,username,text
82,mult co fire ems log,med   medical at      block of ne  th ave  portland  or  portland fire  rp                    pdx   
83,mult co fire ems log,gasinv   natural gas odor or investigation at      block of se nehalem st  portland  or  portland fire  rp                    pdx   
84,mult co fire ems log,miscf   unknown type of fire problem at eb ross island brg at   eastend  portland  or  portland fire  rp                    pdx   
85,mult co fire ems log,med   medical at      block of se  th ave  portland  or  portland fire  rp                    pdx   
86,mult co fire ems log,med   medical at      block of nw   rd ave  portland  or  portland fire  rp                    pdx   
87,mult co fire ems log,med   medical at      block of se    rd ave  portland  or  portland fire  rp                    pdx   
88,day day,galactic cookies  scooby snacks  orange crush   cts  strains  cookies  scoobydoo  oj  weedporn  fire  califire  california  oregon  dayday  ndoe  grower  trees  picoftheday  followme    
89,southern marin fire,southern marin fire personnel have been busy with the first storm of the season  vehicle accident on highway      a small electrical fire on a boat in the sausalito waterfront and a dive    
90,mult co fire ems log,med   medical at      block of ne glisan st  portland  or  portland fire  rp                    pdx   
91,binh h  nguyen,i do not match what i read  bluesy me   mark doty s fire to fire  new   selected poems           it s been an agonizing past three days as i chipped daily at    
92,mult co fire ems log,med   medical at      block of se hawthorne blvd  portland  or  portland fire  rp                    pdx   
93,mult co fire ems log,ta    traffic accident    st response  fire   ems  at nb i    brg at   midspan  portland  or  portland fire  rp                    pdx   
94,kelly  a resister,yay rain   so wonderful to see the bridge cloaked in rain clouds instead of smoke or smog   heading north to spend the day  outside toting raincoats and boots and smiles    golden gate    
95,drsu   ,blow a kiss  fire a gun   all you need is somebody to lean on   hydeaway  roses  hydeandseek  hydeout  badandboujee  sup  supman  sexyvegas   hyde lounge   
96,mult co fire ems log,med   medical at      block of se   th ave  portland  or  portland fire  rp                    pdx   
97,mult co fire ems log,med   medical at       block of ne russell st  portland  or  portland fire  rp                    pdx   
98,mult co fire ems log,med   medical at     block of se grand ave  portland  or  portland fire  rp                    pdx   
99,death certificate,on this day     years ago  snoop doggy dogg released  doggystyle   death row records was on fire  congrats on snoop for earning a star on the hollywood walk of fame just a few days ago     
100,pattyscheeler, no  is a powerful motivator    every time someone told you no or that you couldn t do something  didn t that just spark a fire under you    so thanks to all those that told you no or you    
101,mult co fire ems log,med   medical at      block of n rivergate blvd  portland  or  portland fire  rp                    pdx   
102,javier ceriani,surgir entre las cenizas  california  calabasas  incendios  elaguila  thanksgiving  horse  peta  peta  animales  farm  ranch  fire  friday   calabasas  california   
103,jeremy ogle, regran ed from  spartanrace     drop an emoji below that describes how you feel when you reach the fire jump     firejumpfriday  spartan     regrann        youadapt    
104,wsdot tacoma,cleared  vehicle fire on i   sb at milepost       near delin st 
105,mult co fire ems log,ilburn   illegal burning at      block of n kerby ave  portland  or  portland fire  rp                    pdx   
106,krista lanphear,extremely thankful for all the people in this blurry photo    the smoke house restaurant   
107,roxy cross,bless cal fire and all the fire departments gathered to fight the camp fire  in butte county northern california for their incredible work effort to get this horrible disaster    
108,driven by love,i m not gonna lie  we have been spending a lot of time in our pj s this week all cozied up on the couch with our netflix fire turned on we always had a fireplace growing up  so it s    
109,mult co fire ems log,med   medical at      block of se reedway st  portland  or  portland fire  rp                    pdx   
110,mult co fire ems log,med   medical at      block of ne rodney ave  portland  or  portland fire  rp                    pdx   
111,mult co fire ems log,med   medical at      block of n leadbetter rd  portland  or  portland fire  rp                    pdx   
112,anonymous dealer of death,bout to smoke this super charged wood then bust down a plate outta   tupperwares cause that s what black friday really all about   san jose  california   
113,devil s slide taproom,come and join us today to  raise some hell  for the survivors of the camp fire up in paradise   in the last week we have raised       for the  sierranevada relief fund all proceeds from    
114,mult co fire ems log,med   medical at      block of se   st ave  portland  or  portland fire  rp                    pdx   
115,william justo,observing a lovely but super hazy smoky sunset over the city this evening   cough cough   air quality was deemed very unhealthy for many here in the bay area  thanks to the camp fire    
116,william justo,the autumn sun slowly setting thru our hazy  smoky skies  air quality was deemed very unhealthy for many here in the bay area  thanks to the camp fire burning to the north  limit outdoor    
117,rick willis,i have a lot to be thankful for and this year i am especially grateful for all the firefighters who work  tirelessly to fight these devastating fires  i am giving back by donating to    
118,mult co fire ems log,med   medical at     block of n tillamook st  portland  or  portland fire  rp                    pdx   
119,william justo,a hazy sunset once again over the city  air quality was deemed very unhealthy for many here in the bay area  thanks to the camp fire burning to the north  limit outdoor exposure  pics    
120,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
121,hart hanson,brother in law  chilled from run in torrential rain  warms by the fire accompanied by funny little dog    big sur  california   
122,cameron meredith  ,       today is a good day to sit by the fire and relax         relaxing   black friday        home  fire  interior  design  warm  house  decor  love  architecture  instagood    
123,william justo,very bad  unhealthy air quality observed around the bay area this day due to wildfires burning around norcal  particularly the camp fire  sf was also ranked the worst air quality    
124,william justo,the state of california continues to have very bad  unhealthy air quality due to wildfires burning around the region  particularly the camp fire  even the haze was easily visible at night     
125,william justo,california  including the bay area  continues to have very bad  unhealthy air quality due to wildfires raging around the region  particularly the camp fire  limit outdoor activities     
126,mult co fire ems log,med   medical at       block of ne glenn widing dr  portland  or  portland fire  rp                    pdx   
127,mult co fire ems log,med   medical at      block of ne   st ave  portland  or  portland fire  rp                    pdx   
128,mult co fire ems log,med   medical at se pine st   se   th ave  portland  or  portland fire  rp                    pdx   
129,deirdre saoirse moen,sydney grace s founder lives in paradise  not only does she make superb eyeshadows      of the proceeds from this palette will be used to help victims of the camp fire  if you re looking    
130,total traffic sea,vehicle on fire in  tacoma on i   sb approaching wa     stop and go traffic back to cty ctr  delay of   mins  traffic  
131,wsdot tacoma,vehicle fire on i   sb at milepost       near delin st beginning at       am on november          until further notice  the   right lanes are blocked 
132,mult co fire ems log,med   medical at     block of nw  th ave  portland  or  portland fire  rp                    pdx   
133,total traffic sea,vehicle on fire in  tacoma on i   sb at wa     heavy traffic back to cty ctr  traffic  
134,april,feeling extra grateful this week  the  campfire is    percent contained and there are no active hot spots detected  it may be a long time before the rebuilding process can begin for our    
135,mult co fire ems log,med   medical at      block of se   th ave  portland  or  portland fire  rp                    pdx   
136,mult co fire ems log,ta    traffic accident    st response  fire   ems  at ne   nd ave   ne prescott st  portland  or  portland fire  rp                  
137,mult co fire ems log,carbon   carbon monoxide alarm at      block of n princeton st  portland  or  portland fire  rp                    pdx   
138,christopher monje,post thanksgiving gainz  don t let it go to waste      get up and get moving  if you want to make sure you do not fall victim to the other kind of thanksgiving gainz    i ll be hitting    
139,mindful accord,just posted a photo   paradise valley  arizona   
140,mult co fire ems log,med   medical at     block of sw meade st  portland  or  portland fire  rp                    pdx   
141,mi tacalii, mistacaliibrand  mistacalii  honey   sweet madahoneyproject west up nice track its  fire  follow  f f  followme  followforfollow  follow follow  teamfollowback  followher  followbackteam    
142,vapensmokebremerton,black friday sales are in full effect  be sure and stop by to see what we have in store    vape n smoke   
143,the happy workaholic,i ve always been one to create  it s something that has always just set my soul on fire  and being able to create something that can benefit others is even more incredible today i want to    
144,puff s smoke shop,onelovecbd is in at  puffscarson also black friday sale save    to     off all day    puffs smoke shop   
145,mult co fire ems log,med   medical at sw   th ave   sw morrison st  portland  or  portland fire  rp                    pdx   
146,norman l  kinsey iii,the ca  fires are not just affecting people now but for months to come    i reminded the lady i was talking to that she is blessed to still have her and her family s lives     
147,brew hawg bbq,the holidays are here and we are here to serve you  call us for all your catering needs              we will be happy to book your event  we deliver or can smoke on site   brewhawg    
148,norman l  kinsey iii,the ca  fires are not just affecting people now but for months to come     i reminded the lady i was talking to that she is blessed to still have her and her family s lives     
149,brew hawg bbq,the holidays are here and we are here to serve you  call us for all your catering needs              we will be happy to book your event  we deliver or can smoke on site   brewhawg    
150,mult co fire ems log,med   medical at      block of se morrison st  portland  or  portland fire  rp                    pdx   
151,brew hawg bbq,the holidays are here and we are here to serve you  call us for all your catering needs              we will be happy to book your event  we deliver or can smoke on site   brewhawg    
152,mult co fire ems log,med   medical at     block of n columbia blvd  portland  or  portland fire  rp                    pdx   
153,the pressroom   mercantile at box sf,it s a beautifully rainy friday here in san francisco and a perfect day to get inside  theboxsf and look around      of all sales go to fire victims as well between now and january  st     
154,mult co fire ems log,med   medical at       block of se harold st  portland  or  portland fire  rp                    pdx   
155,mult co fire ems log,med   medical at nw  st ave   nw davis st  portland  or  portland fire  rp                    pdx   
156,mult co fire ems log,med   medical at       block of se division st  portland fire  rp                    pdx   
